Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Метка начала кадра (0x0FF1), -,2,целое,506
Идентификационный номер КА SatID, -,2,целое,508
Определитель кадра Loc ID, -,2,целое,510
Номер кадра, -,2,целое,512
Время записи (генерации) кадра , -,4,целое,514
Версия  ТМИ СЭС 2 (PBM часть 1), -,2,uint16_t,518
Полная мощность зарядки/разрядки PBM,мВт,2,int16_t,520
Полная мощность нагревателей PBM,мВт,2,uint16_t,522
Полный уровень заряда PBM в mAh,mAh,2,uint16_t,524
Полный уровень заряда PBM в %,%,1,uint8_t,526
Ключи заряда/разряда PBM (копия для ТМИ командный рег.) (битовая маска), -,2,битовая маска,527
Ключи термостатов PBM (копия для ТМИ) (битовая маска), -,1,битовая маска,529
Фактическое положение ключей наргревательных элементов PBM, -,1,битовая маска,530
Ключи аварийной зарядки PBM (копия для ТМИ) (битовая маска), -,1,битовая маска,531
 Авто Корректировка заряжа PBM (копия для ТМИ) (битовая маска), -,1,битовая маска,532
Статус Отказов (ошибок) PBM1, -,2,битовая маска,533
Статус Отказов (ошибок) PBM2, -,2,битовая маска,535
Статус Отказов (ошибок) PBM3, -,2,битовая маска,537
Статус Отказов (ошибок) PBM4, -,2,битовая маска,539
Статус Отказов (ошибок) контроллер 1 PBM1, -,2,битовая маска,541
Статус Отказов (ошибок) контроллер 2 PBM1, -,2,битовая маска,543
Статус Отказов (ошибок) контроллер 1 PBM2, -,2,битовая маска,545
Статус Отказов (ошибок) контроллер 2 PBM2, -,2,битовая маска,547
Статус Отказов (ошибок) контроллер 1 PBM3, -,2,битовая маска,549
Статус Отказов (ошибок) контроллер 2 PBM3, -,2,битовая маска,551
Статус Отказов (ошибок) контроллер 1 PBM4, -,2,битовая маска,553
Статус Отказов (ошибок) контроллер 2 PBM4, -,2,битовая маска,555
Уровень заряда PBM1 ветвь 1,%,1,uint8_t,557
Уровень заряда PBM1 ветвь 2,%,1,uint8_t,558
Уровень заряда PBM2 ветвь 1,%,1,uint8_t,559
Уровень заряда PBM2 ветвь 2,%,1,uint8_t,560
Уровень заряда PBM3 ветвь 1,%,1,uint8_t,561
Уровень заряда PBM3 ветвь 2,%,1,uint8_t,562
Уровень заряда PBM4 ветвь 1,%,1,uint8_t,563
Уровень заряда PBM4 ветвь 2,%,1,uint8_t,564
Уровень заряда PBM1 ветвь 1,mAh,2,uint16_t,565
Уровень заряда PBM1 ветвь 2,mAh,2,uint16_t,567
Уровень заряда PBM2 ветвь 1,mAh,2,uint16_t,569
Уровень заряда PBM2 ветвь 2,mAh,2,uint16_t,571
Уровень заряда PBM3 ветвь 1,mAh,2,uint16_t,573
Уровень заряда PBM3 ветвь 2,mAh,2,uint16_t,575
Уровень заряда PBM4 ветвь 1,mAh,2,uint16_t,577
Уровень заряда PBM4 ветвь 2,mAh,2,uint16_t,579
Ток заряда/разряда PBM1 ветвь 1,мА,2,int16_t,581
Ток заряда/разряда PBM1 ветвь 2,мА,2,int16_t,583
Ток заряда/разряда PBM2 ветвь 1,мА,2,int16_t,585
Ток заряда/разряда PBM2 ветвь 2,мА,2,int16_t,587
Ток заряда/разряда PBM3 ветвь 1,мА,2,int16_t,589
Ток заряда/разряда PBM3 ветвь 2,мА,2,int16_t,591
Ток заряда/разряда PBM4 ветвь 1,мА,2,int16_t,593
Ток заряда/разряда PBM4 ветвь 2,мА,2,int16_t,595
PBM1 датчик контроллера 1,°C,1,int8_t,597
PBM1 датчик контроллера 2,°C,1,int8_t,598
PBM1 датчик на плате 1,°C,1,int8_t,599
PBM1 датчик на плате 2,°C,1,int8_t,600
PBM1 датчик на плате 3,°C,1,int8_t,601
PBM1 датчик на плате 4,°C,1,int8_t,602
PBM2 датчик контроллера 1,°C,1,int8_t,603
PBM2 датчик контроллера 2,°C,1,int8_t,604
PBM2 датчик на плате 1,°C,1,int8_t,605
PBM2 датчик на плате 2,°C,1,int8_t,606
PBM2 датчик на плате 3,°C,1,int8_t,607
PBM2 датчик на плате 4,°C,1,int8_t,608
PBM3 датчик контроллера 1,°C,1,int8_t,609
PBM3 датчик контроллера 2,°C,1,int8_t,610
PBM3 датчик на плате 1,°C,1,int8_t,611
PBM3 датчик на плате 2,°C,1,int8_t,612
PBM3 датчик на плате 3,°C,1,int8_t,613
PBM3 датчик на плате 4,°C,1,int8_t,614
PBM4 датчик контроллера 1,°C,1,int8_t,615
PBM4 датчик контроллера 2,°C,1,int8_t,616
PBM4 датчик на плате 1,°C,1,int8_t,617
PBM4 датчик на плате 2,°C,1,int8_t,618
PBM4 датчик на плате 3,°C,1,int8_t,619
PBM4 датчик на плате 4,°C,1,int8_t,620
Reserved ТМИ2,,11,,621
CRC ТМИ2,,2,uint16_t,632
