Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Метка начала кадра (0x0FF1), -,2,целое,146
Идентификационный номер КА SatID, -,2,целое,148
Определитель кадра Loc ID, -,2,целое,150
Номер кадра, -,2,целое,152
Время записи (генерации) кадра , -,4,целое,154
Версия  ТМИ СЭС 0 (PMM PDM), -,2,uint16_t,158
Режим Констатнт ( копия для ТМИ), -,1,uint8_t,160
Режим СЭС ( копия для ТМИ), -,1,uint8_t,161
Переключатель основной/резервный (копия для ТМИ), -,1,uint8_t,162
Выключить питание Passive CPU (копия для ТМИ), -,1,uint8_t,163
Температура модуля PMM ,°C,1,int8_t,164
Ключи питня PMM (копия для ТМИ) (битовая маска), -,2,битовая маска,165
Статус Power Good линий питания PMM, -,2,битовая маска,167
Статус Отказов (ошибок) модуля PMM, -,4,битовая маска,169
Количество перезапусков основного полукомплекта модуля PMM, -,4,uint32_t,173
Количество перезапусков резервного полукомплекта модуля PMM, -,4,uint32_t,177
Напряжение VBAT1,мВ,2,uint16_t,181
Напряжение VBAT2,мВ,2,uint16_t,183
Напряжение VBAT1 (усреднение 10с),мВ,2,uint16_t,185
Напряжение VBAT2 (усреднение 10с),мВ,2,uint16_t,187
Ток VBAT1,мА,2,int16_t,189
Ток VBAT2,мА,2,int16_t,191
Ток VBAT1 (усреднение 10с),мА,2,int16_t,193
Ток VBAT2 (усреднение 10с),мА,2,int16_t,195
Ток потребления СЭС,мА,2,int16_t,197
Напряжение питания модуля PMM (3.3В),мВ,2,uint16_t,199
Напряжение внутренней силовой шины СЭС,мВ,2,uint16_t,201
Полная мощность потребления КА,мВт,2,uint16_t,203
Потребляемая мощность подсистемами и ПН КА,мВт,2,uint16_t,205
"Состояние концевиков раскрыв. элементов, битовая маска", -,2,битовая маска,207
Версия програмного обеспечения FW, -,2,uint16_t,209
Ключи питня PDM (копия для ТМИ) (битовая маска), -,2,битовая маска,211
Статус Power Good линий питания PDM, -,2,битовая маска,213
Статус Отказов (ошибок) модуля PDM, -,4,битовая маска,215
Температура PDM датчик 1,°C,1,int8_t,219
Температура PDM датчик 2,°C,1,int8_t,220
Температура PDM датчик 3,°C,1,int8_t,221
Температура PDM датчик 4,°C,1,int8_t,222
Медианная температура PDM,°C,1,int8_t,223
Напряжение канала 1,мВ,2,uint16_t,224
Напряжение канала 2,мВ,2,uint16_t,226
Напряжение канала 3,мВ,2,uint16_t,228
Напряжение канала 4,мВ,2,uint16_t,230
Напряжение канала 5,мВ,2,uint16_t,232
Напряжение канала 6,мВ,2,uint16_t,234
Напряжение канала 1 (усреднение 10с),мВ,2,uint16_t,236
Напряжение канала 2 (усреднение 10с),мВ,2,uint16_t,238
Напряжение канала 3 (усреднение 10с),мВ,2,uint16_t,240
Напряжение канала 4 (усреднение 10с),мВ,2,uint16_t,242
Напряжение канала 5 (усреднение 10с),мВ,2,uint16_t,244
Напряжение канала 6 (усреднение 10с),мВ,2,uint16_t,246
Ток канал 1,мА,2,int16_t,248
Ток канал 2,мА,2,int16_t,250
Ток канал 3,мА,2,int16_t,252
Ток канал 4,мА,2,int16_t,254
Ток канал 5,мА,2,int16_t,256
Ток канал 6,мА,2,int16_t,258
Ток канал 1 (усреднение 10с),мА,2,int16_t,260
Ток канал 2 (усреднение 10с),мА,2,int16_t,262
Ток канал 3 (усреднение 10с),мА,2,int16_t,264
Ток канал 4 (усреднение 10с),мА,2,int16_t,266
Ток канал 5 (усреднение 10с),мА,2,int16_t,268
Ток канал 6 (усреднение 10с),мА,2,int16_t,270
CRC ТМИ0,,2,uint16_t,272
